grt,replica
689.478478,50
692.510291,50
703.190768,50
666.228164,50
679.731948,50
680.062100,50
685.833758,50
683.582978,50
687.191106,50
685.331097,50
710.052936,50
684.226461,50
659.051352,50
670.502758,50
670.495500,50
666.607624,50
705.131650,50
689.058851,50
700.569416,50
671.003517,50
688.521128,50
665.803303,50
688.016045,50
696.335544,50
668.684868,50
692.113099,50
696.605351,50
679.603983,50
668.411937,50
674.530857,50
669.669512,50
696.693956,50
688.407119,50
723.790047,50
688.562136,50
721.824008,50
674.547075,50
673.781320,50
682.798431,50
687.871748,50
664.524822,50
698.256346,50
716.611130,50
696.957386,50
693.851450,50
695.166724,50
690.605662,50
697.310788,50
706.280090,50
699.351211,50
