grt,replica
700.622272,450
687.158465,450
683.740732,450
712.262651,450
680.844430,450
684.677729,450
678.345107,450
678.394889,450
691.001844,450
684.904360,450
698.489139,450
683.494300,450
687.095107,450
670.350626,450
692.188571,450
704.355789,450
684.526058,450
670.622912,450
676.542242,450
667.357314,450
692.143222,450
666.977533,450
681.830496,450
680.878196,450
675.487672,450
686.204490,450
684.214237,450
677.662337,450
717.903687,450
687.765594,450
688.400377,450
692.127986,450
691.666832,450
677.702214,450
681.203209,450
666.973853,450
686.266464,450
712.617795,450
664.805267,450
687.214492,450
677.495572,450
676.762308,450
654.668604,450
687.936245,450
710.660955,450
684.353201,450
674.441382,450
689.341957,450
698.914228,450
666.925280,450
665.363103,450
678.125241,450
668.597178,450
667.977522,450
701.535565,450
694.464885,450
700.670022,450
702.668995,450
693.006987,450
673.263175,450
693.736971,450
689.477716,450
723.397609,450
681.809219,450
689.025605,450
678.647293,450
689.983379,450
679.028070,450
672.351782,450
681.051993,450
679.549654,450
688.535657,450
726.698670,450
685.287101,450
674.156157,450
701.203044,450
677.977530,450
666.946755,450
686.396384,450
670.365779,450
692.829274,450
702.582377,450
665.442235,450
684.491507,450
678.810121,450
691.334281,450
657.469193,450
692.091427,450
694.833871,450
683.128816,450
687.296946,450
673.386308,450
672.991311,450
649.211897,450
702.674004,450
673.849775,450
699.950915,450
661.614031,450
689.580621,450
681.093382,450
690.307110,450
670.895526,450
676.499062,450
700.004195,450
689.237897,450
690.233561,450
703.689309,450
723.433055,450
690.282916,450
688.372953,450
720.387531,450
675.108543,450
656.846715,450
682.755524,450
705.529360,450
671.444549,450
675.419282,450
708.455719,450
687.170983,450
774.790763,450
676.602409,450
677.668267,450
694.570429,450
693.908357,450
693.700097,450
708.248812,450
711.040633,450
673.029000,450
675.128236,450
665.732530,450
677.403076,450
708.720524,450
696.734221,450
683.365387,450
679.197437,450
700.948759,450
682.156875,450
704.050905,450
704.183793,450
669.718223,450
691.094373,450
692.978548,450
699.203110,450
680.756315,450
685.834692,450
686.984238,450
703.530396,450
684.777003,450
710.497072,450
694.059539,450
688.053025,450
677.385367,450
677.336935,450
685.715185,450
693.854958,450
680.700865,450
690.224641,450
713.228214,450
717.626796,450
663.437975,450
675.713866,450
701.402461,450
675.676785,450
693.835592,450
662.851742,450
683.369643,450
713.806270,450
673.202661,450
708.619218,450
678.285557,450
704.697109,450
678.121157,450
684.052989,450
698.792568,450
674.541629,450
671.255070,450
673.554467,450
708.222204,450
689.454287,450
682.853019,450
684.491484,450
703.972332,450
708.287957,450
694.625100,450
701.270941,450
689.103993,450
690.414093,450
675.465048,450
680.528651,450
678.993088,450
683.776541,450
679.276018,450
694.147785,450
686.528382,450
697.769975,450
685.387361,450
704.183679,450
692.377946,450
677.929895,450
706.872647,450
673.261863,450
680.011129,450
673.543571,450
725.627187,450
682.886478,450
708.897449,450
678.162035,450
685.937579,450
680.037136,450
677.916744,450
680.294372,450
683.640605,450
695.098185,450
670.692518,450
696.390305,450
678.772430,450
677.366093,450
697.363253,450
669.057556,450
687.933804,450
692.283673,450
694.828677,450
680.950663,450
709.363824,450
665.347279,450
702.403812,450
664.870668,450
705.048208,450
697.230008,450
682.875142,450
678.600401,450
686.704482,450
691.170166,450
693.607474,450
699.118835,450
668.605908,450
667.011080,450
696.601405,450
662.289720,450
690.414319,450
694.841244,450
699.778699,450
690.741874,450
689.038056,450
688.594291,450
666.636079,450
723.208301,450
674.634202,450
676.230842,450
703.121857,450
678.795027,450
693.162346,450
672.435180,450
692.320996,450
718.399284,450
681.948150,450
713.285467,450
666.385898,450
676.037077,450
653.896308,450
659.220006,450
694.632344,450
678.125984,450
677.025446,450
676.763628,450
671.643085,450
704.004870,450
704.300557,450
706.601999,450
681.032128,450
709.770091,450
682.419981,450
727.168747,450
684.004349,450
719.489051,450
705.906816,450
707.208922,450
695.448598,450
680.188464,450
673.068060,450
697.780615,450
645.869434,450
699.182134,450
668.858852,450
677.482363,450
671.821736,450
689.430986,450
672.818027,450
709.107933,450
697.026073,450
674.623922,450
697.765884,450
701.800615,450
692.239168,450
691.660321,450
691.598968,450
710.977555,450
679.116401,450
693.277877,450
767.682808,450
726.909225,450
685.766568,450
712.049848,450
683.271240,450
679.869099,450
672.381091,450
669.727779,450
705.110691,450
669.765067,450
677.036751,450
711.087483,450
691.145777,450
668.345368,450
663.182464,450
689.843254,450
684.637356,450
657.487650,450
682.912224,450
685.568795,450
707.852420,450
704.565760,450
721.326748,450
673.077142,450
675.421690,450
687.789795,450
675.982375,450
687.674633,450
693.754644,450
712.257378,450
677.376729,450
687.869232,450
700.032238,450
672.528498,450
682.573758,450
700.806000,450
657.885383,450
682.890780,450
709.447345,450
670.757323,450
676.359779,450
675.643432,450
702.541842,450
679.358893,450
