grt,replica
687.245672,50
676.186144,50
700.498657,50
664.295776,50
682.423595,50
696.413996,50
687.053555,50
685.194010,50
712.655912,50
685.385667,50
688.380683,50
666.752918,50
676.991495,50
676.117649,50
690.558842,50
666.237139,50
696.751733,50
691.821373,50
698.278598,50
677.929675,50
705.445175,50
685.939145,50
673.843460,50
692.360245,50
677.432386,50
671.195424,50
711.660551,50
668.694188,50
681.113442,50
679.480570,50
670.337518,50
710.286757,50
685.875572,50
705.602457,50
727.027435,50
689.160250,50
664.848130,50
689.098156,50
684.455453,50
699.947353,50
688.561794,50
722.520788,50
677.556815,50
694.798566,50
736.586706,50
683.986601,50
697.700689,50
718.804805,50
704.112231,50
686.875040,50
