ploss,replica
0.028152,300
0.048470,300
0.045620,300
0.047333,300
0.026210,300
0.035501,300
0.027700,300
0.042578,300
0.051453,300
0.033094,300
0.039984,300
0.042034,300
0.026922,300
0.030279,300
0.034059,300
0.060676,300
0.045691,300
0.034399,300
0.037459,300
0.052736,300
0.043902,300
0.059931,300
0.063608,300
0.057571,300
0.035700,300
0.032647,300
0.046117,300
0.053045,300
0.041069,300
0.037479,300
0.045723,300
0.049123,300
0.055468,300
0.042186,300
0.038816,300
0.030140,300
0.049427,300
0.027931,300
0.041980,300
0.065913,300
0.038951,300
0.056746,300
0.030690,300
0.037302,300
0.045161,300
0.043960,300
0.043620,300
0.036508,300
0.031063,300
0.025142,300
0.033320,300
0.053493,300
0.044444,300
0.027644,300
0.040644,300
0.061216,300
0.044112,300
0.052734,300
0.025332,300
0.026033,300
0.063838,300
0.072664,300
0.035814,300
0.033078,300
0.033623,300
0.021354,300
0.036590,300
0.032648,300
0.016221,300
0.049960,300
0.049807,300
0.032088,300
0.044241,300
0.028720,300
0.014743,300
0.042789,300
0.036756,300
0.042412,300
0.052716,300
0.032674,300
0.033754,300
0.047244,300
0.017348,300
0.015841,300
0.080110,300
0.039952,300
0.046355,300
0.047405,300
0.024142,300
0.049259,300
0.044961,300
0.053066,300
0.041241,300
0.033898,300
0.036267,300
0.007488,300
0.033520,300
0.039333,300
0.030133,300
0.017794,300
0.034836,300
0.034976,300
0.038462,300
0.020568,300
0.037067,300
0.041042,300
0.063694,300
0.042822,300
0.036364,300
0.049779,300
0.047564,300
0.040297,300
0.045212,300
0.053487,300
0.039779,300
0.050000,300
0.029180,300
0.040767,300
0.038118,300
0.035095,300
0.039604,300
0.042389,300
0.034041,300
0.043930,300
0.024370,300
0.078371,300
0.013344,300
0.029851,300
0.027291,300
0.029328,300
0.035435,300
0.021188,300
0.063291,300
0.039120,300
0.032364,300
0.029170,300
0.041816,300
0.063137,300
0.081883,300
0.034300,300
0.036537,300
0.031161,300
0.038934,300
0.045617,300
0.048393,300
0.031667,300
0.036276,300
0.050279,300
0.037066,300
0.049685,300
0.027789,300
0.032334,300
0.024686,300
0.045835,300
0.046664,300
0.079663,300
0.039887,300
0.035583,300
0.025483,300
0.038000,300
0.047082,300
0.027855,300
0.023246,300
0.041552,300
0.045875,300
0.022755,300
0.038966,300
0.039022,300
0.049485,300
0.045234,300
0.037429,300
0.009362,300
0.021234,300
0.044164,300
0.034022,300
0.047916,300
0.044576,300
0.060571,300
0.052550,300
0.046210,300
0.044400,300
0.037885,300
0.053453,300
0.023217,300
0.068762,300
0.046659,300
0.040628,300
0.030045,300
0.034298,300
0.045931,300
0.032661,300
0.065287,300
0.018692,300
0.029270,300
0.047732,300
0.042732,300
0.057579,300
0.049082,300
0.062378,300
0.053991,300
0.028386,300
0.020066,300
0.053707,300
0.051170,300
0.082293,300
0.045491,300
0.033789,300
0.060582,300
0.049232,300
0.033540,300
0.050020,300
0.033094,300
0.038171,300
0.043207,300
0.022960,300
0.055533,300
0.036448,300
0.016942,300
0.050334,300
0.055797,300
0.032747,300
0.034095,300
0.039936,300
0.039580,300
0.038523,300
0.022314,300
0.045182,300
0.047731,300
0.033293,300
0.043304,300
0.065657,300
0.024969,300
0.049682,300
0.032081,300
0.034525,300
0.053704,300
0.043943,300
0.050139,300
0.035441,300
0.059289,300
0.042846,300
0.058039,300
0.032168,300
0.038015,300
0.030592,300
0.062254,300
0.029679,300
0.034024,300
0.024878,300
0.048237,300
0.028818,300
0.030604,300
0.031759,300
0.033451,300
0.033836,300
0.044444,300
0.040230,300
0.036694,300
0.043960,300
0.031772,300
0.026559,300
0.049155,300
0.047465,300
0.057143,300
0.013906,300
0.058452,300
0.048348,300
0.028181,300
0.040954,300
0.055930,300
0.039722,300
0.036815,300
0.042646,300
0.045603,300
0.060241,300
0.022709,300
0.036437,300
0.038009,300
0.026994,300
0.019786,300
0.029278,300
0.037866,300
0.032820,300
0.041766,300
0.024563,300
0.037007,300
0.032219,300
0.040915,300
0.037260,300
0.073931,300
0.044764,300
0.034988,300
0.037037,300
0.056707,300
0.033225,300
0.035242,300
0.024240,300
0.032207,300
0.059292,300
0.016874,300
