grt,replica
660.957560,200
661.412875,200
660.369030,200
663.912720,200
644.374953,200
646.307735,200
654.618663,200
643.212568,200
689.991461,200
652.732634,200
656.570108,200
676.467226,200
674.015580,200
680.527524,200
666.062426,200
670.431781,200
655.274428,200
653.837668,200
649.944614,200
658.760637,200
648.394118,200
655.559879,200
639.336007,200
663.852733,200
660.832323,200
659.028680,200
666.968299,200
676.928518,200
669.505394,200
670.106283,200
685.124160,200
665.432605,200
666.651171,200
634.651239,200
650.710457,200
685.758508,200
678.444287,200
669.158072,200
675.022810,200
687.973524,200
676.422604,200
665.091357,200
682.246657,200
674.715009,200
666.568497,200
662.068736,200
658.377242,200
672.657365,200
650.829778,200
652.516114,200
664.304675,200
666.253489,200
674.631382,200
666.009004,200
655.157376,200
684.808548,200
687.934956,200
672.214252,200
667.024126,200
642.701622,200
656.229175,200
666.685207,200
682.188486,200
665.449399,200
671.273594,200
642.133138,200
682.572928,200
629.468854,200
658.329122,200
662.454863,200
664.632507,200
672.749734,200
662.085655,200
671.804233,200
667.424479,200
678.683041,200
658.271470,200
653.678467,200
676.016167,200
676.120172,200
664.077717,200
647.739503,200
666.274213,200
643.000252,200
663.041923,200
665.152566,200
663.720732,200
676.051170,200
672.354871,200
677.596730,200
655.550285,200
661.159130,200
668.545751,200
650.073174,200
668.612927,200
664.649652,200
664.117444,200
653.993643,200
657.816161,200
659.419322,200
673.468209,200
664.053139,200
668.482092,200
670.105865,200
667.064311,200
676.530665,200
669.482941,200
680.242824,200
675.677060,200
669.222814,200
651.298018,200
659.127644,200
691.988926,200
679.592549,200
671.866447,200
648.806281,200
673.230174,200
660.346045,200
650.016683,200
661.202105,200
661.566540,200
654.334247,200
653.649843,200
661.505790,200
671.610316,200
679.227015,200
652.948274,200
674.096996,200
663.003624,200
669.216635,200
657.827588,200
678.320752,200
647.718784,200
660.535633,200
673.936362,200
673.771910,200
693.887932,200
626.900645,200
667.715180,200
651.554150,200
648.258249,200
657.666467,200
664.555909,200
662.043641,200
677.769170,200
664.215085,200
650.930156,200
663.046032,200
670.083660,200
646.530547,200
664.320326,200
689.040040,200
644.869352,200
671.225632,200
700.450924,200
649.111875,200
685.048201,200
693.434792,200
670.158177,200
660.928560,200
650.186857,200
634.912777,200
644.880429,200
691.667678,200
671.963846,200
653.952453,200
674.525766,200
648.856466,200
674.100314,200
679.702518,200
651.088552,200
676.486923,200
648.998306,200
682.264412,200
671.949460,200
680.047736,200
674.076126,200
646.091585,200
658.865477,200
656.657708,200
662.405285,200
656.354960,200
651.393906,200
655.149187,200
660.710413,200
650.546910,200
673.279906,200
654.234265,200
647.978351,200
637.599765,200
655.757656,200
648.132377,200
687.496960,200
665.834816,200
669.766473,200
659.252604,200
678.186456,200
659.059369,200
673.069146,200
660.382720,200
