ploss,replica
0.024921,250
0.025144,250
0.009872,250
0.032271,250
0.019460,250
0.015758,250
0.016869,250
0.055556,250
0.014406,250
0.015770,250
0.005947,250
0.026389,250
0.030475,250
0.010367,250
0.014889,250
0.014440,250
0.011485,250
0.010896,250
0.014309,250
0.011957,250
0.013966,250
0.013067,250
0.023030,250
0.026146,250
0.039255,250
0.034219,250
0.015879,250
0.030411,250
0.039355,250
0.022551,250
0.024910,250
0.002020,250
0.023914,250
0.021069,250
0.018276,250
0.000413,250
0.029026,250
0.005225,250
0.037510,250
0.028346,250
0.017147,250
0.001671,250
0.025322,250
0.027269,250
0.027203,250
0.014073,250
0.014079,250
0.005542,250
0.027887,250
0.006544,250
0.027756,250
0.009581,250
0.020627,250
0.025979,250
0.025490,250
0.015575,250
0.009342,250
0.015968,250
0.016942,250
0.035044,250
0.029214,250
0.017799,250
0.030504,250
0.007143,250
0.020367,250
0.036701,250
0.020492,250
0.012407,250
0.034731,250
0.027642,250
0.007570,250
0.018203,250
0.006281,250
0.008170,250
0.013642,250
0.011727,250
0.017637,250
0.008842,250
0.023557,250
0.010621,250
0.032160,250
0.009820,250
0.026432,250
0.022379,250
0.015729,250
0.002984,250
0.013715,250
0.005017,250
0.028339,250
0.037840,250
0.016347,250
0.019520,250
0.035945,250
0.026704,250
0.008765,250
0.034648,250
0.012759,250
0.024087,250
0.011687,250
0.020359,250
0.025371,250
0.052285,250
0.029389,250
0.019734,250
0.017971,250
0.012330,250
0.007404,250
0.029126,250
0.005724,250
0.016506,250
0.041634,250
0.008227,250
0.023904,250
0.045347,250
0.020465,250
0.014729,250
0.019616,250
0.036499,250
0.017836,250
0.029797,250
0.012780,250
0.026517,250
0.014107,250
0.041849,250
0.024557,250
0.005776,250
0.001656,250
0.004928,250
0.009002,250
0.032941,250
0.047876,250
0.016193,250
0.043220,250
0.022855,250
0.034027,250
0.027451,250
0.018785,250
0.026336,250
0.032428,250
0.016247,250
0.037905,250
0.031026,250
0.008360,250
0.020270,250
0.002889,250
0.030562,250
0.015789,250
0.025255,250
0.006816,250
0.009780,250
0.014913,250
0.034496,250
0.024076,250
0.027259,250
0.015422,250
0.011364,250
0.031840,250
0.010865,250
0.001629,250
0.028253,250
0.028866,250
0.023357,250
0.034198,250
0.047750,250
0.020867,250
0.027961,250
0.021294,250
0.026316,250
0.008628,250
0.041352,250
0.018837,250
0.028056,250
0.034385,250
0.019662,250
0.007946,250
0.041439,250
0.030993,250
0.025848,250
0.018274,250
0.007302,250
0.004453,250
0.008380,250
0.023895,250
0.032488,250
0.027158,250
0.043087,250
0.043114,250
0.044314,250
0.030113,250
0.005766,250
0.033400,250
0.029270,250
0.014619,250
0.021431,250
0.013829,250
0.012946,250
0.009380,250
0.007432,250
0.024342,250
0.014394,250
0.007022,250
0.013069,250
0.022873,250
0.010240,250
0.028945,250
0.037975,250
0.030094,250
0.002450,250
0.027345,250
0.008220,250
0.019755,250
0.024498,250
0.024352,250
0.012551,250
0.039208,250
0.025088,250
0.030423,250
0.020218,250
0.033757,250
0.009581,250
0.020424,250
0.046209,250
0.002470,250
0.024245,250
0.026742,250
0.034091,250
0.034968,250
0.017388,250
0.018837,250
0.035166,250
0.010263,250
0.029633,250
0.016406,250
0.027174,250
0.006816,250
0.011605,250
0.004319,250
0.032400,250
0.041699,250
0.017659,250
0.015108,250
0.023450,250
0.026077,250
0.013557,250
0.032373,250
0.008242,250
0.013519,250
0.028913,250
0.020472,250
0.009244,250
