grt,batch
742.271046,1
666.670008,2
674.134691,3
669.569436,4
687.440965,5
684.428532,6
668.621452,7
676.830073,8
690.024945,9
679.240744,10
698.431310,11
719.919413,12
680.243682,13
687.390471,14
692.157186,15
672.513053,16
668.612263,17
693.498529,18
670.774439,19
671.324670,20
675.583471,21
711.146399,22
691.121638,23
668.602390,24
650.955137,25
740.136274,26
693.018414,27
697.827370,28
675.092405,29
685.335909,30
684.119434,31
680.703931,32
682.602836,33
713.949419,34
683.941195,35
673.451175,36
665.829956,37
683.363162,38
663.060268,39
694.967894,40
683.779398,41
658.876682,42
733.916822,43
720.629531,44
655.101769,45
699.895789,46
686.383206,47
684.553526,48
660.248647,49
719.596690,50
677.703368,51
665.910587,52
698.103346,53
692.271622,54
692.077285,55
687.790411,56
695.575152,57
710.138917,58
692.829742,59
696.332973,60
696.414196,61
704.451992,62
678.653992,63
688.742253,64
677.793424,65
698.894210,66
730.753292,67
677.930664,68
699.105667,69
730.045901,70
702.368836,71
665.518010,72
677.776466,73
658.808181,74
713.853007,75
695.895944,76
676.984198,77
729.694939,78
670.304631,79
698.894257,80
711.760206,81
670.375078,82
662.532731,83
697.808601,84
705.448739,85
676.588028,86
700.711304,87
679.138657,88
688.437976,89
701.456068,90
667.098247,91
668.432457,92
694.241974,93
690.640727,94
680.837592,95
704.188165,96
686.709528,97
699.388618,98
683.448662,99
661.826610,100
674.514027,101
676.721978,102
700.739512,103
696.224948,104
699.909457,105
671.887758,106
726.710673,107
661.096684,108
682.324033,109
668.459000,110
688.987302,111
722.358797,112
691.358644,113
711.934485,114
681.474253,115
691.934868,116
699.187442,117
687.573083,118
698.883602,119
701.547369,120
702.303074,121
661.935033,122
648.716453,123
691.762083,124
637.868555,125
649.995216,126
716.724808,127
644.068792,128
665.423163,129
633.402367,130
697.395442,131
664.240368,132
695.303413,133
671.972431,134
719.798941,135
708.308299,136
677.046294,137
681.101698,138
697.212437,139
748.780726,140
695.637121,141
661.296629,142
714.706602,143
712.696434,144
650.789602,145
682.829140,146
692.832222,147
709.507270,148
678.279803,149
703.101861,150
706.147584,151
664.885706,152
678.193248,153
697.748718,154
692.206631,155
669.799145,156
690.284816,157
681.027770,158
677.016082,159
668.601905,160
671.372108,161
686.795257,162
712.170169,163
675.122371,164
706.897598,165
696.951017,166
687.603881,167
672.471019,168
699.344436,169
679.215427,170
712.084753,171
685.297972,172
727.338595,173
667.340686,174
643.574130,175
675.077255,176
682.655773,177
669.895893,178
682.905140,179
685.334188,180
709.259889,181
723.202443,182
684.847960,183
686.123627,184
694.217356,185
692.554032,186
686.090734,187
639.329143,188
684.073126,189
694.395020,190
700.960281,191
709.712421,192
686.448462,193
691.776709,194
728.769629,195
696.490147,196
734.463795,197
668.626420,198
688.305767,199
680.059083,200
679.190925,201
674.237144,202
708.987785,203
704.760927,204
675.109952,205
703.672829,206
667.956911,207
672.122595,208
674.574406,209
712.425373,210
662.865006,211
682.131378,212
670.766137,213
680.897230,214
738.596048,215
684.851975,216
767.072720,217
657.007334,218
698.619113,219
675.825656,220
693.896112,221
683.779608,222
703.633494,223
682.005134,224
687.348231,225
688.675067,226
660.448066,227
701.037170,228
699.762044,229
709.188390,230
702.602062,231
691.052483,232
703.195048,233
699.605574,234
666.343233,235
726.438478,236
684.060282,237
712.087482,238
677.193699,239
690.505215,240
701.931911,241
651.339212,242
688.624922,243
697.759546,244
685.389261,245
685.933369,246
703.484362,247
711.078394,248
687.425313,249
718.184682,250
722.514675,251
747.186267,252
687.968078,253
695.554841,254
695.866773,255
670.195398,256
719.738187,257
686.124330,258
710.728632,259
666.308609,260
699.063914,261
700.936777,262
695.188683,263
684.315329,264
689.489473,265
702.181716,266
703.658824,267
674.274336,268
680.417828,269
675.528334,270
671.875504,271
687.667437,272
678.117968,273
650.716558,274
661.524520,275
689.524489,276
739.228898,277
700.158770,278
682.468054,279
702.575294,280
665.776575,281
703.768447,282
671.483988,283
698.825745,284
688.056726,285
659.404707,286
679.923840,287
676.799794,288
674.305897,289
711.465940,290
712.581359,291
677.211494,292
688.745784,293
687.805157,294
688.613234,295
727.849385,296
708.687302,297
696.789298,298
692.551259,299
657.724843,300
676.644832,301
689.605191,302
685.028808,303
667.837268,304
707.299373,305
716.144165,306
672.782059,307
667.260090,308
693.974348,309
698.378290,310
683.966004,311
702.370302,312
693.014552,313
715.425180,314
737.040766,315
666.846430,316
734.524383,317
673.368257,318
676.984703,319
687.613931,320
675.332285,321
701.815977,322
686.727551,323
688.783982,324
667.875653,325
715.533538,326
652.419883,327
672.223379,328
705.562172,329
696.165033,330
659.244238,331
681.582090,332
673.385124,333
713.457439,334
696.293209,335
632.089478,336
683.921313,337
679.465875,338
693.879550,339
671.009260,340
