grt,batch
684.213762,1
695.240002,2
693.178882,3
669.872774,4
695.507839,5
704.444777,6
698.577928,7
697.482030,8
682.508005,9
678.186048,10
704.808954,11
656.869780,12
695.759523,13
677.810955,14
708.822529,15
699.664211,16
688.548457,17
689.439588,18
682.593764,19
695.363715,20
643.805384,21
692.891848,22
674.724868,23
683.866214,24
686.468365,25
684.136923,26
687.108332,27
733.100486,28
688.045294,29
718.264838,30
667.483694,31
650.543431,32
656.302262,33
668.161021,34
682.999182,35
681.278794,36
696.507985,37
641.718292,38
665.561288,39
664.081038,40
698.366089,41
701.734423,42
744.697112,43
703.347131,44
719.880528,45
649.821584,46
692.593849,47
678.593034,48
672.343884,49
678.477499,50
669.718422,51
669.666227,52
658.725175,53
698.248040,54
690.619185,55
704.995693,56
662.267157,57
663.019754,58
670.756588,59
690.852887,60
686.703647,61
690.319203,62
700.822901,63
702.497120,64
681.864627,65
698.019515,66
691.062758,67
717.899067,68
674.281839,69
677.444300,70
691.253465,71
684.829341,72
679.141953,73
698.419630,74
685.448527,75
698.747335,76
679.651307,77
671.181099,78
714.728965,79
707.201216,80
689.253201,81
698.350810,82
702.513463,83
654.501177,84
679.252042,85
699.638183,86
690.195329,87
719.416685,88
711.941623,89
690.067115,90
697.325184,91
679.860392,92
705.598902,93
691.729165,94
689.234783,95
662.246425,96
690.790036,97
674.504352,98
723.085153,99
675.467154,100
692.778557,101
690.691820,102
666.374664,103
684.209027,104
668.319791,105
650.287145,106
681.513716,107
664.725538,108
727.313625,109
690.678048,110
671.497766,111
692.945750,112
711.106864,113
726.531918,114
675.302251,115
715.930076,116
713.850708,117
693.732558,118
704.121844,119
670.279357,120
680.517707,121
695.211175,122
669.342349,123
683.477417,124
684.277556,125
662.094733,126
641.925110,127
677.638233,128
701.992342,129
712.766041,130
742.376898,131
663.385265,132
706.247964,133
700.859186,134
700.057474,135
682.664686,136
681.542667,137
688.817746,138
691.330376,139
677.415505,140
662.195266,141
688.238200,142
672.433421,143
681.613983,144
686.455865,145
656.751624,146
679.499989,147
680.970931,148
714.441643,149
681.392249,150
672.434658,151
677.378427,152
655.930946,153
659.974647,154
683.608001,155
728.184919,156
690.693200,157
666.612519,158
673.117073,159
686.044590,160
721.087144,161
699.978969,162
718.643109,163
668.005407,164
708.985523,165
693.741083,166
674.817252,167
692.174845,168
692.721947,169
678.430913,170
690.873348,171
686.132865,172
670.910878,173
675.075143,174
677.911225,175
689.468788,176
674.195472,177
682.608978,178
697.207501,179
741.615364,180
693.155981,181
685.746011,182
688.334817,183
683.133612,184
702.630077,185
694.732386,186
724.233426,187
675.107164,188
676.310472,189
687.231354,190
719.549795,191
682.536960,192
670.627954,193
691.092628,194
685.599938,195
703.342345,196
668.744597,197
682.520259,198
675.302429,199
666.079268,200
715.260208,201
693.841883,202
697.511476,203
656.113428,204
660.663486,205
686.731869,206
701.037630,207
719.806096,208
678.899921,209
701.736225,210
714.256251,211
695.907771,212
680.462778,213
675.646639,214
681.889044,215
713.576784,216
683.615674,217
690.002505,218
675.426865,219
704.022172,220
685.891754,221
684.144795,222
692.481522,223
699.135417,224
694.790245,225
709.190855,226
686.400706,227
666.695341,228
697.686233,229
678.449809,230
693.286025,231
656.303409,232
670.571086,233
695.545469,234
681.737210,235
675.003082,236
668.999742,237
693.389147,238
680.488185,239
671.514183,240
690.482376,241
700.649184,242
713.586729,243
674.268087,244
681.297741,245
693.871773,246
686.787512,247
668.006507,248
701.879884,249
727.015607,250
693.828270,251
677.794108,252
659.644351,253
701.774266,254
714.884879,255
690.890345,256
681.573636,257
693.938529,258
691.658997,259
685.091192,260
679.899426,261
709.101013,262
713.779488,263
703.829704,264
694.333888,265
725.499850,266
671.547233,267
674.871324,268
654.519752,269
689.232524,270
685.268147,271
730.990805,272
692.875256,273
706.444971,274
666.056154,275
662.919177,276
711.507041,277
680.450285,278
699.214831,279
690.980056,280
694.427505,281
702.551503,282
670.870951,283
691.184900,284
717.622493,285
675.378320,286
680.003650,287
723.791865,288
669.294486,289
706.125444,290
712.078728,291
702.735329,292
703.893744,293
713.976367,294
686.597308,295
684.941213,296
750.350209,297
688.832560,298
673.489675,299
663.024344,300
696.325630,301
705.608739,302
700.166932,303
687.619527,304
699.120274,305
710.464395,306
682.028246,307
690.919790,308
728.154039,309
668.299842,310
670.215199,311
668.099831,312
678.282543,313
693.293810,314
702.432231,315
704.902924,316
703.407273,317
681.959510,318
661.373442,319
691.592080,320
692.326174,321
663.785080,322
