grt,batch
737.849494,1
714.712689,2
656.955157,3
681.293940,4
678.132868,5
686.254218,6
684.657151,7
704.147964,8
689.823063,9
688.391894,10
695.219033,11
687.661677,12
654.045392,13
769.582897,14
679.475355,15
725.560397,16
680.193727,17
686.309786,18
682.652956,19
672.011865,20
670.713291,21
703.698559,22
690.263291,23
708.044340,24
679.657309,25
669.417310,26
704.804294,27
689.356713,28
707.558240,29
680.868584,30
678.228642,31
666.477675,32
693.993259,33
736.719091,34
697.568575,35
708.634573,36
693.908443,37
710.284087,38
696.190012,39
685.731633,40
665.814775,41
678.648856,42
692.492629,43
650.526015,44
699.741999,45
706.265895,46
699.305579,47
691.128511,48
692.677487,49
671.950768,50
720.981682,51
678.065813,52
674.656782,53
665.996413,54
696.671029,55
691.158500,56
695.934074,57
680.932125,58
681.916612,59
687.441728,60
671.656526,61
687.451013,62
696.756051,63
676.460927,64
671.603622,65
698.562857,66
711.949845,67
697.764644,68
674.878154,69
676.596863,70
668.220591,71
691.530789,72
686.871273,73
705.250182,74
666.431356,75
710.022043,76
678.304684,77
657.518564,78
691.780966,79
710.166318,80
673.259829,81
681.918750,82
709.075431,83
687.451595,84
692.125876,85
677.342638,86
679.730671,87
688.514586,88
687.104921,89
687.277332,90
701.949651,91
710.470904,92
682.942749,93
683.331823,94
688.883053,95
691.654385,96
671.212825,97
679.298661,98
662.841925,99
680.520876,100
695.114538,101
690.267890,102
674.976004,103
685.833235,104
692.386521,105
652.314616,106
711.298033,107
681.678166,108
692.372759,109
731.190261,110
721.428370,111
714.501211,112
740.360058,113
671.464869,114
670.429379,115
691.284639,116
679.136646,117
680.466839,118
707.713502,119
673.468686,120
724.333136,121
678.079709,122
672.217656,123
671.751478,124
670.254168,125
690.563555,126
686.987818,127
691.478402,128
675.389274,129
645.728498,130
678.573539,131
707.680968,132
734.964364,133
685.603594,134
721.445265,135
691.870642,136
700.577556,137
687.184099,138
704.732903,139
665.221096,140
673.956445,141
755.267135,142
656.632400,143
682.926909,144
693.602302,145
666.980262,146
684.858808,147
676.345670,148
691.137525,149
697.892185,150
665.014040,151
703.765944,152
700.886720,153
655.458402,154
676.528756,155
695.978447,156
692.971467,157
705.658007,158
705.066813,159
672.653602,160
689.232314,161
644.679077,162
664.245798,163
692.693787,164
708.864561,165
717.444060,166
674.082132,167
693.674322,168
700.464502,169
714.371592,170
681.476245,171
691.758912,172
706.767620,173
674.825572,174
700.460367,175
678.946267,176
687.184860,177
679.862980,178
719.183582,179
707.790859,180
669.998183,181
681.435358,182
664.736867,183
677.908305,184
657.771495,185
666.273028,186
700.005913,187
692.975269,188
679.342516,189
694.259534,190
699.557663,191
692.982847,192
693.188727,193
682.207964,194
703.494735,195
656.724677,196
739.942253,197
702.551365,198
670.107406,199
710.791165,200
682.491110,201
690.440107,202
710.415447,203
688.499106,204
669.610976,205
738.392669,206
685.054047,207
703.509156,208
668.782625,209
675.723197,210
696.648387,211
664.702533,212
679.845381,213
672.294595,214
694.103260,215
678.799631,216
