ploss,batch
0.030651,1
0.032004,2
0.037802,3
0.062127,4
0.043022,5
0.050450,6
0.059536,7
0.039362,8
0.041854,9
0.048379,10
0.034535,11
0.032663,12
0.053731,13
0.033300,14
0.060575,15
0.031342,16
0.059481,17
0.048355,18
0.056084,19
0.024415,20
0.048314,21
0.077343,22
0.046254,23
0.084619,24
0.046384,25
0.038864,26
0.021967,27
0.040581,28
0.064644,29
0.036610,30
0.018981,31
0.034990,32
0.053023,33
0.020875,34
0.058438,35
0.069617,36
0.034965,37
0.048805,38
0.041893,39
0.060757,40
0.057489,41
0.021000,42
0.035096,43
0.052209,44
0.067444,45
0.050445,46
0.026987,47
0.037332,48
0.058556,49
0.043829,50
0.023845,51
0.014786,52
0.052819,53
0.047221,54
0.026490,55
0.070402,56
0.024765,57
0.038364,58
0.057271,59
0.028870,60
0.031649,61
0.067194,62
0.022500,63
0.051716,64
0.051531,65
0.023996,66
0.019618,67
0.044088,68
0.045614,69
0.075241,70
0.045854,71
0.036610,72
0.051837,73
0.050324,74
0.034188,75
0.043608,76
0.037905,77
0.064922,78
0.034535,79
0.051449,80
0.053313,81
0.051733,82
0.050652,83
0.042469,84
0.055612,85
0.066271,86
0.067737,87
0.042871,88
0.060546,89
0.039821,90
0.051217,91
0.036018,92
0.063809,93
0.041937,94
0.058619,95
0.036518,96
0.043281,97
0.055556,98
0.057185,99
0.033966,100
0.034535,101
0.030700,102
0.060576,103
0.069087,104
0.035785,105
0.029806,106
0.035018,107
0.038674,108
0.049771,109
0.075416,110
0.027694,111
0.070131,112
0.072782,113
0.036318,114
0.044761,115
0.038232,116
0.059880,117
0.045680,118
0.024698,119
0.056492,120
0.029102,121
0.028330,122
0.056613,123
0.034639,124
0.066169,125
0.036906,126
0.061461,127
0.050246,128
0.049246,129
0.072259,130
0.048086,131
0.053944,132
0.066209,133
0.047691,134
0.047883,135
0.037383,136
0.074537,137
0.046883,138
0.042671,139
0.072755,140
0.053973,141
0.050933,142
0.013527,143
0.031754,144
0.075673,145
0.057114,146
0.070237,147
0.075509,148
0.052813,149
0.051795,150
0.077783,151
0.054620,152
0.077986,153
0.038090,154
0.075538,155
0.049925,156
0.065751,157
0.024072,158
0.035607,159
0.046953,160
0.042254,161
0.049874,162
0.043738,163
0.035803,164
0.061080,165
0.047619,166
0.065744,167
0.048283,168
0.048338,169
0.027514,170
0.082116,171
0.066467,172
0.044865,173
0.049352,174
0.035411,175
0.052974,176
0.055667,177
0.056000,178
0.059086,179
0.038614,180
0.036981,181
0.086891,182
0.049677,183
0.039454,184
0.043198,185
0.056594,186
0.042616,187
0.026863,188
0.068706,189
0.044313,190
0.036318,191
0.032631,192
0.026039,193
0.066600,194
0.044888,195
0.045637,196
0.047501,197
0.049246,198
0.038981,199
0.052261,200
0.081419,201
0.040179,202
0.050754,203
0.022795,204
0.053299,205
0.057558,206
0.032401,207
0.051882,208
0.059352,209
0.060169,210
0.052261,211
0.070025,212
0.063767,213
0.041227,214
0.041355,215
0.055972,216
0.072398,217
0.048067,218
0.038596,219
0.036318,220
0.037994,221
0.048283,222
0.048732,223
0.034414,224
