grt,batch
683.176265,1
710.121656,2
678.734900,3
668.554772,4
670.367353,5
676.488118,6
700.162109,7
684.165743,8
685.480956,9
677.577786,10
702.921305,11
697.770138,12
705.697877,13
681.399382,14
680.725120,15
716.854071,16
699.341765,17
671.835065,18
667.044120,19
669.718940,20
658.782218,21
693.537318,22
669.037619,23
714.243648,24
701.023703,25
707.055183,26
679.190263,27
704.725151,28
684.270188,29
676.881196,30
685.191241,31
687.507717,32
712.376940,33
737.303264,34
689.744723,35
687.299908,36
681.860482,37
677.694218,38
703.438150,39
683.010532,40
683.297125,41
656.819514,42
684.420863,43
714.037167,44
717.269900,45
651.310412,46
689.046906,47
690.740779,48
694.333190,49
659.818171,50
677.889971,51
693.713637,52
690.698856,53
690.758853,54
675.382600,55
707.605219,56
679.913950,57
696.653349,58
700.184614,59
699.301092,60
697.504833,61
680.072251,62
661.905977,63
716.748980,64
666.336320,65
686.934346,66
698.051239,67
670.968203,68
691.856858,69
679.550084,70
691.082368,71
708.397481,72
687.272129,73
695.369286,74
684.389701,75
682.083312,76
674.854054,77
697.023582,78
681.837210,79
696.800974,80
731.221463,81
664.470144,82
675.664183,83
696.644857,84
664.723480,85
684.001132,86
701.768461,87
649.436594,88
678.671682,89
709.659446,90
663.965882,91
686.834581,92
664.009933,93
712.390613,94
675.968706,95
698.627293,96
688.108655,97
682.591588,98
703.966947,99
690.445121,100
650.898567,101
670.443522,102
652.802657,103
702.973807,104
692.752234,105
671.534943,106
692.591627,107
690.471174,108
682.331840,109
674.192115,110
673.080459,111
706.057446,112
665.240121,113
670.352880,114
654.530422,115
701.321154,116
713.499733,117
702.343497,118
702.247777,119
693.432073,120
689.986455,121
659.203989,122
698.141142,123
727.708576,124
675.366174,125
682.361124,126
678.651919,127
684.834383,128
661.237551,129
685.595642,130
710.381784,131
699.794657,132
702.253037,133
686.264318,134
678.589591,135
669.420984,136
707.947410,137
710.211899,138
692.777501,139
676.288752,140
649.062695,141
666.583783,142
669.479807,143
681.100385,144
667.584431,145
676.913445,146
688.750860,147
683.034185,148
698.077404,149
688.432007,150
686.009541,151
652.718416,152
690.652425,153
683.850253,154
687.099006,155
685.539483,156
687.108802,157
655.262068,158
691.810868,159
683.087917,160
648.420277,161
695.836597,162
696.830359,163
709.550572,164
694.432430,165
669.561217,166
729.073609,167
697.569119,168
687.929746,169
678.034968,170
720.638975,171
702.405315,172
669.466316,173
715.300649,174
672.948009,175
680.737942,176
660.799788,177
668.133160,178
678.271660,179
681.650107,180
690.471561,181
702.216453,182
691.454975,183
705.981317,184
684.205303,185
673.960441,186
684.011772,187
667.746194,188
706.538888,189
701.125237,190
690.840461,191
735.197916,192
680.677689,193
727.065327,194
670.427000,195
696.840950,196
722.552186,197
642.152820,198
687.141583,199
694.815763,200
721.272900,201
700.752543,202
686.256696,203
703.727997,204
706.442160,205
680.800007,206
694.125255,207
688.442224,208
701.759720,209
679.672061,210
688.113194,211
707.697920,212
690.550182,213
736.855512,214
701.093398,215
658.533876,216
719.126487,217
699.562641,218
712.108250,219
673.463664,220
680.532871,221
680.681619,222
690.833317,223
660.318345,224
688.404393,225
690.572511,226
686.093876,227
680.604758,228
687.874598,229
721.150445,230
643.806531,231
678.468079,232
693.396754,233
693.989601,234
678.861444,235
658.435843,236
689.875194,237
659.816699,238
686.617853,239
689.542634,240
681.621016,241
711.251939,242
697.270483,243
678.875846,244
671.000100,245
684.323382,246
691.878756,247
702.743382,248
694.044831,249
689.889343,250
685.660346,251
676.205709,252
657.312959,253
717.986672,254
691.123818,255
689.882603,256
688.455292,257
723.223615,258
705.339476,259
685.107351,260
687.379722,261
689.114687,262
641.114713,263
667.731778,264
675.968117,265
664.917131,266
674.455198,267
661.981657,268
689.543470,269
685.265258,270
689.681730,271
708.678620,272
700.909960,273
688.748663,274
718.424266,275
701.390068,276
676.262088,277
693.697058,278
716.051657,279
726.005801,280
697.155392,281
687.669578,282
675.373885,283
707.383765,284
683.325168,285
678.980914,286
680.202051,287
710.000207,288
690.899305,289
716.898913,290
695.713596,291
700.662421,292
678.955943,293
677.655559,294
671.596562,295
713.218771,296
704.675446,297
691.254511,298
680.291513,299
660.732615,300
660.689813,301
