grt,period
653.902108,1
687.293510,2
673.035116,3
684.169417,4
669.935402,5
690.649787,6
649.778249,7
658.411977,8
638.368768,9
664.060763,10
685.546823,11
682.730971,12
673.213649,13
698.736583,14
680.779220,15
652.754499,16
665.598060,17
671.772086,18
666.183469,19
665.923673,20
670.844537,21
697.680383,22
695.609499,23
680.831407,24
678.557240,25
680.315119,26
664.348896,27
667.461396,28
685.502828,29
669.426604,30
678.725863,31
675.599383,32
657.633161,33
689.741307,34
692.631024,35
684.587214,36
675.411589,37
697.892499,38
678.387723,39
672.536834,40
691.107042,41
645.948485,42
655.958417,43
681.177806,44
687.368275,45
684.736661,46
710.821991,47
654.041948,48
675.787192,49
655.743556,50
692.119031,51
680.637359,52
651.830667,53
669.893835,54
690.365302,55
670.505230,56
685.492748,57
671.634050,58
672.310050,59
687.367248,60
694.764071,61
647.737345,62
697.579405,63
670.641289,64
678.557509,65
653.063135,66
678.984814,67
688.101676,68
669.661092,69
692.236237,70
656.730899,71
678.806996,72
655.742081,73
697.124110,74
679.672812,75
688.923770,76
683.846525,77
658.058469,78
640.423337,79
677.864713,80
673.067920,81
645.439738,82
663.668969,83
688.335963,84
715.757973,85
704.623971,86
643.101953,87
644.242399,88
652.596417,89
665.722444,90
676.449152,91
688.052206,92
680.286353,93
663.625189,94
661.824215,95
672.061864,96
672.408846,97
706.418227,98
658.452909,99
648.360329,100
689.329199,101
661.146614,102
723.117219,103
653.580312,104
672.650325,105
688.903372,106
649.576749,107
681.401293,108
675.600921,109
662.306619,110
660.407698,111
671.735505,112
690.166681,113
684.833342,114
670.987986,115
656.865039,116
666.066246,117
667.592912,118
690.005574,119
653.937748,120
661.585164,121
683.503496,122
671.678156,123
698.659870,124
666.261002,125
665.960131,126
680.408814,127
661.261604,128
670.980448,129
706.423050,130
651.044775,131
667.359631,132
665.926738,133
666.462318,134
689.780802,135
665.203891,136
670.769492,137
656.082292,138
675.657377,139
660.394837,140
660.315229,141
662.211322,142
674.951815,143
672.438094,144
678.462184,145
669.809399,146
647.024812,147
677.309924,148
676.319925,149
651.836362,150
668.088498,151
670.707589,152
683.415954,153
697.076848,154
667.482703,155
664.855189,156
658.776353,157
669.139913,158
704.979388,159
679.749714,160
670.222590,161
679.252871,162
679.815123,163
685.418012,164
668.205223,165
673.158979,166
672.140134,167
701.919861,168
674.505123,169
682.321811,170
670.638439,171
648.762215,172
663.835341,173
668.712549,174
663.250199,175
683.504025,176
685.308143,177
667.321279,178
669.587174,179
675.472516,180
668.090615,181
649.764693,182
672.384549,183
665.018443,184
690.431346,185
666.579486,186
721.040101,187
683.402536,188
686.367128,189
687.156548,190
645.355203,191
677.325070,192
686.468296,193
672.419005,194
706.708351,195
664.604640,196
685.352518,197
678.821358,198
685.641922,199
689.093124,200
707.191358,201
664.782519,202
660.393161,203
668.765759,204
650.590773,205
680.563649,206
664.618107,207
708.717901,208
671.695698,209
653.968640,210
669.261668,211
674.011062,212
665.316064,213
675.488101,214
655.074835,215
640.427338,216
664.908686,217
729.148726,218
650.114061,219
674.490601,220
667.238497,221
639.618406,222
674.388992,223
681.821942,224
667.755043,225
