ploss,batch_index
0.000000,1
0.000000,2
0.000000,3
0.007273,4
0.023499,5
0.022312,6
0.018425,7
0.015449,8
0.013733,9
0.022801,10
0.020548,11
0.026126,12
0.025389,13
0.030483,14
0.028217,15
0.026815,16
0.029721,17
0.049432,18
0.051585,19
0.052819,20
0.054369,21
0.058662,22
0.056332,23
0.055997,24
0.055242,25
0.063486,26
0.069285,27
0.075552,28
0.076949,29
0.077381,30
0.080901,31
0.078631,32
0.076923,33
0.078681,34
0.076620,35
0.079530,36
0.078129,37
0.078988,38
0.077850,39
0.079108,40
0.078170,41
0.076494,42
0.074627,43
0.073236,44
0.071894,45
0.075212,46
0.074809,47
0.075491,48
0.075674,49
0.076743,50
0.077113,51
0.075777,52
0.074528,53
0.075072,54
0.076611,55
0.076324,56
0.075853,57
0.074512,58
0.075564,59
0.074336,60
0.073148,61
0.072199,62
0.072694,63
0.072824,64
0.074316,65
0.075193,66
0.074605,67
0.073519,68
0.072383,69
0.071233,70
0.070365,71
0.069556,72
0.068593,73
0.069046,74
0.069195,75
0.068918,76
0.068652,77
0.067874,78
0.067939,79
0.066962,80
0.066405,81
0.066823,82
0.065948,83
0.068135,84
0.068089,85
0.068900,86
0.068400,87
0.067559,88
0.067285,89
0.066816,90
0.066786,91
0.067382,92
0.066605,93
0.066047,94
0.065261,95
0.064677,96
0.064392,97
0.063807,98
0.063225,99
0.062440,100
0.062222,101
0.061708,102
0.062837,103
0.063949,104
0.064111,105
0.063418,106
0.063036,107
0.062296,108
0.061783,109
0.061311,110
0.060773,111
0.060259,112
0.059719,113
0.059631,114
0.059072,115
0.059134,116
0.059246,117
0.058809,118
0.058710,119
0.059156,120
0.059820,121
0.059505,122
0.059349,123
0.060657,124
0.061240,125
0.061813,126
0.061786,127
0.062714,128
0.062745,129
0.062289,130
0.062500,131
0.062040,132
0.061796,133
0.062580,134
0.062099,135
0.061668,136
0.061243,137
0.060960,138
0.060513,139
0.060121,140
0.061065,141
0.060618,142
0.060243,143
0.060212,144
0.059855,145
0.060800,146
0.060763,147
0.060803,148
0.060538,149
0.061008,150
0.060608,151
0.060783,152
0.061400,153
0.061477,154
0.061148,155
0.061124,156
0.060694,157
0.060369,158
0.060007,159
0.060837,160
0.060936,161
0.061101,162
0.061214,163
0.060855,164
0.060547,165
0.060198,166
0.060392,167
0.060029,168
0.059741,169
0.060686,170
0.060842,171
0.060866,172
0.060594,173
0.060949,174
0.060621,175
0.060922,176
0.061362,177
0.061001,178
0.061922,179
0.061540,180
0.061268,181
0.060916,182
0.060801,183
0.061347,184
0.061192,185
0.060876,186
0.061641,187
0.062756,188
0.062340,189
0.062056,190
0.061928,191
0.062286,192
0.062574,193
0.062362,194
0.062926,195
0.062943,196
0.063429,197
0.063109,198
0.063330,199
0.063227,200
0.063014,201
0.063565,202
0.063605,203
0.063338,204
0.063467,205
0.063319,206
0.062993,207
0.062691,208
0.062846,209
0.063346,210
0.062995,211
0.062855,212
0.062598,213
0.062794,214
0.063270,215
0.063366,216
0.063550,217
0.063475,218
0.063253,219
0.063013,220
0.063598,221
0.063690,222
0.063625,223
0.063422,224
0.063793,225
0.064046,226
0.064299,227
0.064197,228
0.063933,229
0.063640,230
0.063463,231
0.063236,232
0.063002,233
0.063443,234
0.063174,235
