ploss,batch
0.104895,1
0.077655,2
0.134945,3
0.095829,4
0.109719,5
0.104530,6
0.105078,7
0.149246,8
0.110220,9
0.074553,10
0.093687,11
0.128713,12
0.069396,13
0.077694,14
0.090267,15
0.150972,16
0.124813,17
0.134945,18
0.122469,19
0.084465,20
0.060561,21
0.145528,22
0.139753,23
0.083417,24
0.105609,25
0.072620,26
0.086737,27
0.116915,28
0.080661,29
0.095357,30
0.091320,31
0.085671,32
0.097941,33
0.117234,34
0.095835,35
0.101285,36
0.052099,37
0.078451,38
0.125376,39
0.094763,40
0.112052,41
0.128600,42
0.059724,43
0.104950,44
0.082434,45
0.101989,46
0.077230,47
0.102912,48
0.139512,49
0.095718,50
0.082090,51
0.144803,52
0.121675,53
0.110050,54
0.086740,55
0.093812,56
0.136155,57
0.113281,58
0.130544,59
0.071429,60
0.157895,61
0.128629,62
0.075038,63
0.108566,64
0.107268,65
0.126824,66
0.142643,67
0.077651,68
0.094763,69
0.096211,70
0.090726,71
0.085786,72
0.114300,73
0.112205,74
0.095793,75
0.085360,76
0.067635,77
0.066367,78
0.109890,79
0.093420,80
0.115308,81
0.144289,82
0.083083,83
0.080677,84
0.063444,85
0.121903,86
0.116232,87
0.086364,88
0.091679,89
0.104582,90
0.116174,91
0.111498,92
0.103570,93
0.148260,94
0.072068,95
0.097913,96
0.109638,97
0.091847,98
0.117352,99
0.117588,100
0.110060,101
0.099849,102
0.114243,103
0.091448,104
0.087108,105
0.100705,106
0.119701,107
0.037463,108
0.081297,109
0.107538,110
0.084325,111
0.058942,112
0.099552,113
0.127500,114
0.133634,115
0.114787,116
0.082587,117
0.110550,118
0.119538,119
0.098280,120
0.141271,121
0.057971,122
0.134529,123
0.121303,124
0.086103,125
0.097658,126
0.104387,127
0.103550,128
0.113113,129
0.098500,130
0.105852,131
0.130005,132
0.112718,133
0.093127,134
0.096386,135
0.121303,136
0.103707,137
0.091903,138
0.075012,139
0.097744,140
0.100705,141
0.072818,142
0.126000,143
0.108470,144
0.167686,145
0.119366,146
0.120956,147
0.112004,148
0.137670,149
0.119166,150
0.085117,151
0.100152,152
0.136566,153
0.103345,154
0.100404,155
0.107892,156
0.126305,157
0.140936,158
0.102934,159
0.085874,160
0.110283,161
0.087108,162
0.096888,163
0.110500,164
0.092942,165
0.065664,166
0.112399,167
0.093233,168
0.066372,169
0.067444,170
0.130673,171
0.055838,172
0.104953,173
0.102641,174
0.088620,175
0.109616,176
0.073924,177
0.106680,178
0.106203,179
0.101107,180
0.149551,181
0.129741,182
0.104545,183
0.103806,184
0.092323,185
0.111612,186
0.117618,187
0.068672,188
0.094710,189
0.124385,190
0.123131,191
0.087923,192
0.118408,193
0.130653,194
0.097767,195
0.092965,196
0.111668,197
0.105131,198
0.104715,199
0.163174,200
0.079053,201
0.088016,202
0.101586,203
0.066262,204
0.102437,205
0.089718,206
0.110224,207
0.105420,208
0.093407,209
0.116232,210
0.086913,211
0.064773,212
0.110889,213
0.118182,214
0.050847,215
0.113226,216
0.082920,217
0.146465,218
0.109421,219
0.098485,220
0.142140,221
0.096211,222
0.109383,223
0.107715,224
0.113048,225
0.130240,226
0.079460,227
0.078685,228
0.060821,229
0.098549,230
0.109890,231
0.120357,232
0.078788,233
0.136455,234
0.110505,235
0.111333,236
0.073427,237
0.097561,238
0.096548,239
0.094472,240
0.126368,241
0.094141,242
0.090180,243
0.101652,244
0.114458,245
0.123568,246
0.108162,247
0.121635,248
0.124562,249
0.104167,250
0.067882,251
0.096182,252
0.092500,253
0.068351,254
0.129276,255
0.099149,256
0.097019,257
0.117265,258
0.094794,259
0.108891,260
0.095967,261
0.031873,262
0.115848,263
0.083499,264
0.104598,265
0.131293,266
0.093750,267
0.085117,268
0.087912,269
0.103948,270
0.150202,271
0.114061,272
0.084008,273
0.114583,274
0.112456,275
0.088191,276
0.096355,277
0.105847,278
0.118559,279
0.106256,280
0.095980,281
0.115480,282
0.094177,283
0.094581,284
0.087746,285
0.085871,286
0.117413,287
0.113797,288
0.094520,289
0.105755,290
0.091414,291
0.130739,292
0.096211,293
0.096048,294
0.106981,295
0.094059,296
0.083835,297
0.112240,298
0.133955,299
0.094737,300
0.087131,301
0.123138,302
0.104348,303
0.115271,304
0.156596,305
0.148167,306
0.080621,307
0.114443,308
0.132331,309
0.117122,310
0.087807,311
0.117796,312
0.112543,313
0.112767,314
0.088811,315
0.074559,316
0.118881,317
0.089916,318
0.102000,319
0.102642,320
0.138477,321
0.084289,322
0.076229,323
0.128385,324
0.100595,325
0.065697,326
0.097030,327
0.059211,328
0.085644,329
0.101158,330
0.091272,331
0.105289,332
0.037205,333
0.086957,334
0.118756,335
0.136631,336
0.080219,337
0.102513,338
0.058325,339
0.111729,340
0.107986,341
0.114948,342
0.085513,343
0.092804,344
0.112839,345
0.109000,346
0.119960,347
0.109806,348
0.101371,349
0.121074,350
0.090319,351
0.063158,352
0.075210,353
0.063348,354
0.089597,355
0.109945,356
0.064532,357
0.090954,358
0.067574,359
0.097208,360
0.102113,361
0.116716,362
0.102941,363
0.094858,364
0.096710,365
0.079404,366
0.073195,367
0.099398,368
0.102081,369
0.082505,370
0.093340,371
0.145169,372
0.120896,373
0.072673,374
0.117676,375
0.123116,376
0.099701,377
0.142352,378
0.089990,379
0.157558,380
0.069871,381
0.115133,382
0.107054,383
0.108122,384
0.103293,385
0.138330,386
0.112382,387
0.098655,388
0.079477,389
0.103397,390
0.097451,391
0.124502,392
0.131114,393
0.103689,394
0.112012,395
0.117763,396
0.079517,397
0.137313,398
0.140554,399
0.125186,400
0.106653,401
0.120157,402
0.105871,403
0.064179,404
0.106680,405
0.094588,406
0.067669,407
0.090407,408
0.131657,409
0.107143,410
0.145582,411
0.102323,412
0.101015,413
0.111001,414
0.087456,415
0.092399,416
0.059326,417
0.057769,418
0.095814,419
0.089277,420
0.134031,421
0.111892,422
0.109950,423
0.112388,424
0.092752,425
0.109841,426
0.112887,427
0.143788,428
0.095570,429
0.110778,430
0.088473,431
0.115842,432
0.095500,433
0.129786,434
0.099744,435
0.144051,436
0.093047,437
0.089582,438
0.087824,439
0.132836,440
0.144076,441
0.106500,442
0.121137,443
0.116418,444
0.083125,445
0.098394,446
0.073158,447
0.093426,448
0.082954,449
0.143564,450
0.085714,451
0.110778,452
0.132699,453
0.076200,454
0.071138,455
0.117149,456
0.122134,457
0.090367,458
0.091228,459
0.107592,460
0.124564,461
0.102985,462
0.115580,463
0.141218,464
0.112210,465
0.077543,466
0.109445,467
0.123069,468
0.111500,469
0.114000,470
0.065566,471
0.094188,472
0.095072,473
0.116675,474
0.099301,475
0.063032,476
0.091816,477
0.106647,478
0.102227,479
0.092500,480
0.091045,481
0.080041,482
0.071252,483
0.092685,484
0.112895,485
0.119921,486
0.086868,487
0.081572,488
0.111334,489
0.148958,490
0.116325,491
0.093734,492
0.091090,493
0.069508,494
0.072656,495
0.103535,496
0.133333,497
0.098668,498
0.148893,499
0.105447,500
0.101449,501
0.098410,502
0.127520,503
0.079642,504
0.118122,505
0.118087,506
0.091994,507
0.111670,508
0.070010,509
0.114070,510
0.101090,511
0.080285,512
0.094508,513
0.112388,514
0.125125,515
0.083627,516
0.136004,517
0.127767,518
0.081927,519
0.106287,520
0.087154,521
0.106181,522
0.099798,523
0.118881,524
0.125188,525
0.091675,526
0.086476,527
0.115423,528
0.111888,529
0.091414,530
0.106700,531
0.104282,532
0.127786,533
0.061266,534
0.116832,535
0.111334,536
0.098661,537
0.088934,538
0.111386,539
0.084977,540
0.090099,541
0.150754,542
0.100251,543
0.079980,544
0.095643,545
0.131526,546
0.124131,547
0.117735,548
0.100251,549
0.136089,550
0.115423,551
0.079444,552
0.098641,553
0.118349,554
0.087110,555
0.111996,556
0.103588,557
0.098451,558
0.139593,559
0.112210,560
0.024133,561
0.065524,562
0.104559,563
0.103448,564
0.101566,565
0.075780,566
0.140711,567
0.094406,568
0.116094,569
0.081901,570
0.077113,571
0.121594,572
0.078063,573
0.091688,574
0.109109,575
0.162424,576
0.117966,577
0.094386,578
0.112774,579
0.117736,580
0.111277,581
0.091457,582
0.072609,583
0.114155,584
0.119704,585
0.131540,586
0.113376,587
0.091274,588
0.128024,589
0.081228,590
0.096531,591
0.082212,592
0.117265,593
0.119920,594
0.089286,595
0.150402,596
0.076157,597
0.064664,598
0.078519,599
0.100550,600
0.086543,601
0.079460,602
0.102031,603
0.115540,604
0.115040,605
0.084848,606
0.130219,607
0.063968,608
0.079040,609
0.108108,610
0.114500,611
0.117765,612
0.129464,613
0.103155,614
0.119900,615
0.067848,616
0.148649,617
0.121393,618
0.128728,619
0.087675,620
0.104843,621
0.096434,622
0.080139,623
0.113874,624
0.116759,625
0.108108,626
0.065704,627
0.085139,628
0.055996,629
0.077922,630
0.093750,631
0.099298,632
0.099244,633
0.113245,634
0.116642,635
0.111333,636
0.134673,637
0.134606,638
0.062376,639
0.095405,640
0.060332,641
0.108081,642
0.157658,643
