ploss,period
0.005376,1
0.028311,2
0.020906,3
0.017570,4
0.024900,5
0.036739,6
0.011905,7
0.025832,8
0.005536,9
0.014478,10
0.015167,11
0.023233,12
0.024963,13
0.056089,14
0.047761,15
0.013554,16
0.018463,17
0.034774,18
0.022022,19
0.014624,20
0.022863,21
0.037794,22
0.019326,23
0.034175,24
0.021511,25
0.035874,26
0.011044,27
0.034000,28
0.015385,29
0.012152,30
0.046766,31
0.034948,32
0.020171,33
0.013480,34
0.042701,35
0.019598,36
0.034619,37
0.022077,38
0.013026,39
0.021148,40
0.042899,41
0.014558,42
0.015657,43
0.029382,44
0.032918,45
0.025987,46
0.034791,47
0.003528,48
0.010542,49
0.013493,50
0.022099,51
0.030527,52
0.011055,53
0.027902,54
0.008222,55
0.025578,56
0.035803,57
0.027081,58
0.028628,59
0.029820,60
0.027317,61
0.010065,62
0.029985,63
0.028971,64
0.017561,65
0.020408,66
0.036943,67
0.046743,68
0.029324,69
0.033838,70
0.018849,71
0.017068,72
0.022682,73
0.040221,74
0.049550,75
0.038875,76
0.027384,77
0.010505,78
0.002515,79
0.029910,80
0.023821,81
0.008951,82
0.012127,83
0.019388,84
0.051055,85
0.041393,86
0.019240,87
0.012569,88
0.019520,89
0.024157,90
0.032194,91
0.046734,92
0.046766,93
0.017000,94
0.023500,95
0.022033,96
0.027383,97
0.032432,98
0.030638,99
0.000496,100
0.024798,101
0.014903,102
0.055916,103
0.013092,104
0.016865,105
0.030105,106
0.004016,107
0.010406,108
0.043763,109
0.005985,110
0.011864,111
0.019417,112
0.052553,113
0.039639,114
0.017964,115
0.004532,116
0.026394,117
0.023058,118
0.047525,119
0.016353,120
0.014156,121
0.027500,122
0.012444,123
0.051681,124
0.024048,125
0.015423,126
0.026223,127
0.011471,128
0.022333,129
0.037280,130
0.015144,131
0.025478,132
0.013306,133
0.025440,134
0.023256,135
0.021522,136
0.023571,137
0.007964,138
0.023477,139
0.015976,140
0.018491,141
0.018991,142
0.024623,143
0.012500,144
0.035697,145
0.029955,146
0.012544,147
0.008073,148
0.031910,149
0.021717,150
0.006027,151
0.030303,152
0.034553,153
0.061607,154
0.024623,155
0.011483,156
0.024096,157
0.021511,158
0.050025,159
0.022455,160
0.024685,161
0.026772,162
0.028571,163
0.040857,164
0.020603,165
0.039382,166
0.023737,167
0.035485,168
0.037519,169
0.024488,170
0.020676,171
0.026852,172
0.019792,173
0.011236,174
0.017769,175
0.021597,176
0.027095,177
0.014414,178
0.037295,179
0.027068,180
0.029970,181
0.011033,182
0.012865,183
0.015672,184
0.041252,185
0.017650,186
0.032487,187
0.046775,188
0.037575,189
0.048314,190
0.016272,191
0.012544,192
0.036437,193
0.012776,194
0.041165,195
0.037680,196
0.039461,197
0.020749,198
0.034913,199
0.033855,200
0.053287,201
0.019940,202
0.014099,203
0.014435,204
0.007992,205
0.030303,206
0.023610,207
0.034937,208
0.059142,209
0.013629,210
0.030617,211
0.010579,212
0.014529,213
0.013951,214
0.019048,215
0.007452,216
0.006969,217
